"NUMBER","INETSHORTD"
"O4EWHIG             ","Introducing the Envision Crystal 4 dram anointing oil, specially crafted for the White Goddess with a delicate scent and infused magical blessings. Ideal for rituals, ceremonies, or daily use, this anointing oil is designed to enhance your spiritual practice and connection with the divine."
"O77AV               ","Use 7X7 Against All Fragranced Oil to protect yourself and loved ones from any harm, spells, envy, bad luck, negativity etc. 1/2 oz."
"O7AFRPV             ","Invoke the virtues of the 7 African Orishas when using this oil in your magic practice or rituals. 7 African Powers will assist in bringing you love, money, luck and peace of mind."
"OA16AMB             ","High quality yellow label Amber oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Amber oil may aid in calming the mind, increasing circulation, pain, and stimulating the libido."
"OA16BALF            ","High quality yellow label Balsam Fir oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Balsam Fir is a grounding and purifying tree spirit, often used in ritual and spiritual practice for its connection to cleansing, renewal, and protection."
"OA16BAS             ","High quality yellow label Basil oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. A sacred herb to cleanse spaces, prosperity, protection, attract good fortune, and bless your path with peace."
"OA16CED             ","High quality yellow label Cedar oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Cedar oil may aid for calming, balancing, nervous tension, regenerative, clarifying, focusing, strengthing, stress, blessing, health, meditation, courage, protextion, money, and self control."
"OA16CIN             ","High quality yellow label Cinnamon oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Cinnamon oil is used to bring in wealth, money, prosperity and will open you up to receiving new income."
"OA16CIT             ","High quality yellow label Citronella oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Citronella not only an insect repellant is known to stimulate the senses, promoting relaxation, enhancing focus, and dispel negativity. 16oz."
"OA16CLO             ","High quality yellow label Sweet Clove oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Clove oil may be used for money, joy, protection, confidence, to stop gossip, for sweet dreams and love. "
"OA16DRAB            ","High quality yellow label Dragon's Blood oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Dragon Blood Oil can be use to empower all magic, to draw back someone into your life and is especially known for aiding protection magic. "
"OA16EUC             ","High quality yellow label Eucalyptus oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Drawing upon the essence of a plant known for its curative and healing properties, Eucalyptus Oil makes for a fantastic aid in such magic. Use it in your spells and rituals to cleanse, washing away the negative energies that afflict an object, place or person."
"OA16FRA             ","High quality yellow label Frankincense oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Frankincense may assist with cleansing energies, uplifting the spirit, peace and balance."
"OA16FRAM            ","High quality yellow label Frankincense and Myrrh oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Frankincense & Myrrh oil may be used for healing on an emotional, physical, and spiritual level."
"OA16FRAN            ","High quality yellow label Frangipani oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Frangipani Oil for love, joy, and spiritual upliftment. Enhance your rituals, attract harmony, and fill your space with sweet smells."
"OA16GIN             ","High quality yellow label Ginger oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Ginger for power, protection, and prosperity. Ignite your energy, attract abundance, and spice up your rituals with courage and passion."
"OA16JAS             ","High quality yellow label Jasmine oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Jasmine oil is used for divination, love, attract a soul mate, wealth, money, prophetic dreams and is great for charging quartz crystals."
"OA16JUN             ","High quality yellow label Juniper oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. In magic practices Juniper may be a great ingredient for health, attracting good, love, health, anti-theft, exorcism, health, and protection."
"OA16LAV             ","High quality yellow label Lavender oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Lavender oil may be used for mental clarity, calmness, tranquility, anxiety, and spiritual connection."
"OA16LEMG            ","High quality yellow label Lemongrass oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. In magical practices Lemongrass makes a strong ingredient in lust, repels snakes, psychic powers and cleansing spells. 16oz"
"OA16LILF            ","High quality yellow label French Lilac oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Lilac oil will help lighten the moon as well as driving away evil and is a protective oil."
"OA16MUSD            ","High quality yellow label Dark Musk oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Musk brings calmness, relaxation, and assists with stress, anxiety and depression."
"OA16MYR             ","High quality yellow label Myrrh oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Myrrh oil may be used for purification, exorcism, protection and preparation for ritual."
"OA16NAGC            ","High quality yellow label Nag Champa oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Nag Champa offers a sense of calm, removes negative energy, and is a cleanser."
"OA16NER             ","High quality yellow label Neroli oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Nerolii for love, calm, and spiritual renewal. Infuse your rituals with peace, attract harmony, and open your heart to joy and inspiration."
"OA16NEWMH           ","High quality yellow label New Mown Hay Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. New Mown Hay for grounding, abundance, and fresh beginnings. Bring the warmth of summer fields into your rituals to attract prosperity, clarity, and natural harmony."
"OA16PAT             ","High quality yellow label Patchouli oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Patchouli oil is soothing, boost energy, harmony, fertility, prosperity, grounding, manifesting, peace, and as an aphrodisiac aiding in love spells."
"OA16PIN             ","High quality yellow label Pine Oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Pine oil may assist you with protection, regeneration, fertility, cleansing, and warding off illness."
"OA16ROS             ","High quality yellow label Rose oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Rose oil may be used to bring balance, luck, health and love into your practice."
"OA16ROSM            ","High quality yellow label Rosemary oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Rosemary for protection, clarity, and harmony. Cleanse your space, sharpen your mind, and invite positive energy."
"OA16RUE             ","High quality yellow label Rue oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Rue oil is a strong protection oil that may assist with cleansing, negative blocks, and used in evil eye magic. Powerful aid in a jinx or curse in your home or environment."
"OA16SAG             ","High quality yellow label Sage oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. For banishing negativity, healing, cleansing, and wisdom."
"OA16SAN             ","High quality yellow label Sandalwood oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Sandalwood oil may be used to help manifest safety, peace and health in your practice."
"OA16STR             ","High quality yellow label Strawberry oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Strawberry oil may be used for luck, love, desire, and fertility"
"OA16SWEG            ","High quality yellow label Sweet Grass oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Sweet Grass is used regularly in shamanic healing. May be used to cleanse away worries and stress."
"OA16TONB            ","High quality yellow label Tonka Bean oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Tonka Bean for love, luck, and sweet blessings. Attract positivity, enhance intuition, and warm your rituals."
"OA16VAN             ","High quality yellow label Vanilla oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Vanilla for love, abundance, and sweet blessings. Add warmth, harmony, and positive energy to your rituals."
"OA16WIN             ","High quality yellow label Wintergreen oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Wintergreen for clarity, protection, and vitality. Clear your mind, energize your spirit, and shield your space with this refreshing, invigorating oil."
"OA16YLAY            ","High quality yellow label Ylang Ylang oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Ylang Ylang for love, joy, and emotional balance. Enhance your rituals, lift your spirit, and invite harmony and passion into your space."
"OA1AMB              ","High quality yellow label Amber oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Amber oil may aid in calming the mind, increasing circulation, pain, and stimulating the libido."
"OA1CED              ","High quality yellow label Cedar oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Cedar oil may aid for calming, balancing, nervous tension, regenerative, clarifying, focusing, strengthing, stress, blessing, health, meditation, courage, protextion, money, and self control."
"OA1CIN              ","High quality yellow label Cinnamon oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Cinnamon oil is used to bring in wealth, money, prosperity and will open you up to receiving new income."
"OA1CLO              ","High quality yellow label Sweet Clove oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Clove oil may be used for money, joy, protection, confidence, to stop gossip, for sweet dreams and love. "
"OA1DRAB             ","High quality yellow label Dragon's Blood oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Dragon Blood Oil can be use to empower all magic, to draw back someone into your life and is especially known for aiding protection magic."
"OA1EUC              ","High quality yellow label Eucalyptus oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Drawing upon the essence of a plant known for its curative and healing properties, Eucalyptus Oil makes for a fantastic aid in such magic. Use it in your spells and rituals to cleanse, washing away the negative energies that afflict an object, place or person."
"OA1FRA              ","High quality yellow label Frankincense oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Frankincense may assist with cleansing energies, uplifting the spirit, peace and balance."
"OA1FRAM             ","High quality yellow label Frankincense and Myrrh oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Frankincense & Myrrh oil may be used for healing on an emotional, physical, and spiritual level."
"OA1JAS              ","High quality yellow label Jasmine oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Jasmine oil is used for divination, love, attract a soul mate, wealth, money, prophetic dreams and is great for charging quartz crystals."
"OA1LAV              ","High quality yellow label Lavender oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Lavender oil may be used for mental clarity, calmness, tranquility, anxiety, and spiritual connection."
"OA1LILF             ","High quality yellow label French Lilac oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Lilac oil will help lighten the moon as well as driving away evil and is a protective oil"
"OA1MUSD             ","High quality yellow label Dark Musk oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Musk brings calmness, relaxation, and assists with stress, anxiety and depression.
"
"OA1MYR              ","High quality yellow label Myrrh oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Myrrh oil may be used for purification, exorcism, protection and preparation for ritual."
"OA1NAGC             ","High quality yellow label Nag Champa oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Nag Champa offers a sense of calm, removes negative energy, and is a cleanser.
"
"OA1PAT              ","High quality yellow label Patchouli oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Patchouli oil is soothing, boost energy, harmony, fertility, prosperity, grounding, manifesting, peace, and as an aphrodisiac aiding in love spells."
"OA1PIN              ","High quality yellow label Pine Oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Pine oil may assist you with protection, regeneration, fertility, cleansing, and warding off illness."
"OA1ROS              ","High quality yellow label Rose oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Rose oil may be used to bring balance, luck, health and love into your practice."
"OA1ROSM             ",""
"OA1RUE              ","High quality yellow label Rue oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Rue oil is a strong protection oil that may assist with cleansing, negative blocks, and used in evil eye magic. Powerful aid in a jinx or curse in your home or environment."
"OA1SAG              ","High quality yellow label Sage oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. For banishing negativity, healing, cleansing, and wisdom."
"OA1SAN              ","High quality yellow label Sandalwood oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Sandalwood oil may be used to help manifest safety, peace and health in your practice."
"OA1STR              ","High quality yellow label Sandalwood oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Strawberry oil may be used to help with luck, love, desire, and fertility"
"OA1SWEG             ","High quality yellow label Sweet Grass oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Sweet Grass is used regularly in shamanic healing. May be used to cleanse away worries and stress."
"OA1TONB             ",""
"OA1VAN              ",""
"OA2AMB              ","High quality yellow label Amber oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Amber oil may aid in calming the mind, increasing circulation, pain, and stimulating the libido."
"OA2BALF             ","High quality yellow label Balsam Fir oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Balsam Fir is a grounding and purifying tree spirit, often used in ritual and spiritual practice for its connection to cleansing, renewal, and protection."
"OA2BAS              ","High quality yellow label Basil oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. A sacred herb to cleanse spaces, prosperity, protection, attract good fortune, and bless your path with peace."
"OA2CED              ","High quality yellow label Cedar oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Cedar oil may aid for calming, balancing, nervous tension, regenerative, clarifying, focusing, strengthing, stress, blessing, health, meditation, courage, protextion, money, and self control."
"OA2CIN              ","High quality yellow label Cinnamon oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Cinnamon oil is used to bring in wealth, money, prosperity and will open you up to receiving new income."
"OA2CIT              ","High quality yellow label Citronella oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Citronella not only an insect repellant is known to stimulate the senses, promoting relaxation, enhancing focus, and dispel negativity. 2dram."
"OA2CLO              ","High quality yellow label Sweet Clove oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Clove oil may be used for money, joy, protection, confidence, to stop gossip, for sweet dreams and love. "
"OA2DRAB             ","High quality yellow label Dragon's Blood oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Dragon Blood Oil can be use to empower all magic, to draw back someone into your life and is especially known for aiding protection magic. "
"OA2EUC              ","High quality yellow label Eucalyptus oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Drawing upon the essence of a plant known for its curative and healing properties, Eucalyptus Oil makes for a fantastic aid in such magic. Use it in your spells and rituals to cleanse, washing away the negative energies that afflict an object, place or person."
"OA2FRA              ","High quality yellow label Frankincense oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Frankincense may assist with cleansing energies, uplifting the spirit, peace and balance."
"OA2FRAM             ","High quality yellow label Frankincense and Myrrh oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Frankincense & Myrrh oil may be used for healing on an emotional, physical, and spiritual level."
"OA2FRAN             ","High quality yellow label Frangipani oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Frangipani Oil for love, joy, and spiritual upliftment. Enhance your rituals, attract harmony, and fill your space with sweet smells."
"OA2GIN              ","High quality yellow label Ginger oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Ginger for power, protection, and prosperity. Ignite your energy, attract abundance, and spice up your rituals with courage and passion."
"OA2JAS              ","High quality yellow label Jasmine oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Jasmine oil is used for divination, love, attract a soul mate, wealth, money, prophetic dreams and is great for charging quartz crystals."
"OA2JUN              ","High quality yellow label Juniper oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. In magic practices Juniper may be a great ingredient for health, attracting good, love, health, anti-theft, exorcism, health, and protection. 2dram"
"OA2LAV              ","High quality yellow label Lavender oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Lavender oil may be used for mental clarity, calmness, tranquility, anxiety, and spiritual connection."
"OA2LEMG             ","High quality yellow label Lemongrass oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. In magical practices Lemongrass makes a strong ingredient in lust, repels snakes, psychic powers and cleansing spells. 2dram"
"OA2LILF             ","High quality yellow label French Lilac oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Lilac oil will help lighten the moon as well as driving away evil and is a protective oil."
"OA2MUSD             ","High quality yellow label Dark Musk oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Musk brings calmness, relaxation, and assists with stress, anxiety and depression."
"OA2MYR              ","High quality yellow label Myrrh oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Myrrh oil may be used for purification, exorcism, protection and preparation for ritual."
"OA2NAGC             ","High quality yellow label Nag Champa oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Nag Champa offers a sense of calm, removes negative energy, and is a cleanser."
"OA2NER              ","High quality yellow label Neroli oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Nerolii for love, calm, and spiritual renewal. Infuse your rituals with peace, attract harmony, and open your heart to joy and inspiration."
"OA2NEWMH            ","High quality yellow label New Mown Hay Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. New Mown Hay for grounding, abundance, and fresh beginnings. Bring the warmth of summer fields into your rituals to attract prosperity, clarity, and natural harmony."
"OA2PAT              ","High quality yellow label Patchouli oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Patchouli oil is soothing, boost energy, harmony, fertility, prosperity, grounding, manifesting, peace, and as an aphrodisiac aiding in love spells."
"OA2PIN              ","High quality yellow label Pine Oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Pine oil may assist you with protection, regeneration, fertility, cleansing, and warding off illness."
"OA2ROS              ","High quality yellow label Rose oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Rose oil may be used to bring balance, luck, health and love into your practice."
"OA2ROSM             ",""
"OA2RUE              ","High quality yellow label Rue oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Rue oil is a strong protection oil that may assist with cleansing, negative blocks, and used in evil eye magic. Powerful aid in a jinx or curse in your home or environment"
"OA2SAG              ","High quality yellow label Sage oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. For banishing negativity, healing, cleansing, and wisdom."
"OA2SAN              ","High quality yellow label Sandalwood oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Sandalwood oil may be used to help manifest safety, peace and health in your practice."
"OA2STR              ","High quality yellow label Sandalwood oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Strawberry oil may be used to help with luck, love, desire, and fertility"
"OA2SWEG             ","High quality yellow label Sweet Grass oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Sweet Grass is used regularly in shamanic healing. May be used to cleanse away worries and stress."
"OA2TONB             ",""
"OA2VAN              ",""
"OA2WIN              ","High quality yellow label Wintergreen oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Wintergreen for clarity, protection, and vitality. Clear your mind, energize your spirit, and shield your space with this refreshing, invigorating oil."
"OA2YLAY             ","High quality yellow label Ylang Ylang oil. Oils may provide many different results in various areas in your life. People have used them in ritual magic, anointing, aromatherapy and spell-crafting. Ylang Ylang for love, joy, and emotional balance. Enhance your rituals, lift your spirit, and invite harmony and passion into your space."
"OAFCALM             ","Call Money air freshener with the intention of stability, abundance, and financial empowerment. This air freshener can be used for spiritual and religious purposes in combination with your faith and intention. Effectively eliminates odor and leaves a pleasant scent in your room. 8.45 fl. oz in a plastic bottle with a pump spray."
"OAFCOMTM            ","Come to me air freshener with the intention of love, commitment, and romance. This air freshener can be used for spiritual and religious purposes in combination with your faith and intention. Effectively eliminates odor and leaves a pleasant scent in your room. 8.45 fl. oz in a plastic bottle with a pump spray."
"OAFDRAB             ","Introducing the Satya Dragon's Blood air freshener, a must-have for those seeking a refreshing and invigorating atmosphere. Encased in a sleek glass spray bottle, this 30ml liquid air freshener is perfect for any space. Experience the delightful aroma of Dragon's Blood, a light and pleasant scent that will uplift your senses. With its convenient spray design, you can effortlessly distribute the fragrance throughout your home, office, or car."
"OAFGALN             ","Gallina Negra air freshener with the intention of spiritual cleansing, negative energy healing, and protection. This air freshener can be used for spiritual and religious purposes in combination with your faith and intention. Effectively eliminates odor and leaves a pleasant scent in your room. 8.45 fl. oz in a plastic bottle with a pump spray."
"OAFLAV              ","A bottle of Satya Lavender air freshener. Coming in a glass spray bottle with 30ml of liquid air freshener. Pleasant scent"
"OAFLOVSE            ","Love and sexual energy air freshener with the intention of glamour, attraction, and sensuality. This air freshener can be used for spiritual and religious purposes in combination with your faith and intention. Effectively eliminates odor and leaves a pleasant scent in your room. 8.45 fl. oz in a plastic bottle with a pump spray."
"OAFNATA             ","Native American air freshener with the intention of protection, clearing negative forces, and to heal obstacles. This air freshener can be used for spiritual and religious purposes in combination with your faith and intention. Effectively eliminates odor and leaves a pleasant scent in your room. 8.45 fl. oz in a plastic bottle with a pump spray."
"OAFOALS             ","Enhance the ambiance of your space with the Satya Palo Santo air freshener, contained in a sleek glass spray bottle. With 30ml of liquid air freshener, this product offers a long-lasting and pleasant scent that will uplift your surroundings. Ideal for creating a calming and inviting atmosphere in any room, this air freshener is a must-have for those who appreciate quality fragrances."
"OAFOPER             ","Open Roads air freshener with the intention of healing obstacles, success, and new avenues. This air freshener can be used for spiritual and religious purposes in combination with your faith and intention. Effectively eliminates odor and leaves a pleasant scent in your room. 8.45 fl. oz in a plastic bottle with a pump spray."
"OAFPAT              ","Enhance the ambiance of any space with the Satya Patchouli air freshener, contained in a sleek glass spray bottle holding 30ml of fragrant liquid. This air freshener boasts a delightful scent that will leave rooms smelling fresh and inviting, making it a perfect addition to any home or office setting."
"OAFREV              ","Reversible air freshener with the intention of protection, clearing negative forces, and healing obstacles. This air freshener can be used for spiritual and religious purposes in combination with your faith and intention. Effectively eliminates odor and leaves a pleasant scent in your room. 8.45 fl. oz in a plastic bottle with a pump spray."
"OAFROS              ","Introducing the Satya Rose air freshener, a must-have for those who love delightful fragrances. Packed in a handy 30ml glass spray bottle, this air freshener is both convenient and stylish. With its refreshing scent, it effortlessly creates a pleasant atmosphere in any room. Whether you want to freshen up your living room, bedroom, or office space, this air freshener is the perfect choice."
"OAFSANM             ","Santa Muerte air freshener with the intention of undoing spells, protection, and safety. This air freshener can be used for spiritual and religious purposes in combination with your faith and intention. Effectively eliminates odor and leaves a pleasant scent in your room. 8.45 fl. oz in a plastic bottle with a pump spray."
"OAFSTM              ","St. Michael air freshener with the intention of defense, protection, and guarding. This air freshener can be used for spiritual and religious purposes in combination with your faith and intention. Effectively eliminates odor and leaves a pleasant scent in your room. 8.45 fl. oz in a plastic bottle with a pump spray."
"OAFWHIS             ","Enhance the ambiance of your space with the Satya White Sage air freshener. This 30ml liquid air freshener comes in a sleek glass spray bottle, making it easy to use and perfect for any room in your home or office. The pleasant scent of White Sage will leave your surroundings feeling refreshed and inviting. Elevate your environment with this high-quality air freshener from Satya."
"OAGAHV              ","A four dram bottle of anointing oil by Mistic Products for use in all manner of protection, jinx removing, curse & hex breaking rituals and spells. Made in U.S.A. 4 dram."
"OALLV               ","This potent oil is intended to be of use in whatever purpose you are seeking.  Whether you're seeking over or good luck, protection or healing, this is a great oil to use in your spells and rituals.  This is a 4 dram bottle of anointing oil, for external use only."
"OALM128             ","Discover the soothing benefits of Sweet Almond Carrier Oil, a luxurious, lightweight oil known for its nourishing and hydrating properties. Extracted from the seeds of the sweet almond tree, this oil is packed with essential vitamins like A, E, and D, as well as fatty acids. 1 gallon size also available <A href=""https://www.azuregreen.net/8oz-Almond-Sweet-carrier-oil/productinfo/OALM8/"">in 8 oz.</A>"
"OALM8               ","Discover the soothing benefits of Sweet Almond Carrier Oil, a luxurious, lightweight oil known for its nourishing and hydrating properties. Extracted from the seeds of the sweet almond tree, this oil is packed with essential vitamins like A, E, and D, as well as fatty acids. 8oz size also available in <A href=""https://www.azuregreen.net/1-Gallon-Almond-Sweet-carrier-oil/productinfo/OALM128/"">1 gallon size</A>"
"OATTLF              ","Use to attract love in your life. Pure anointing oil for external use only.   Made in USA."
"OBANF               ","When words and thoughts just are not enough to keep something or someone away. This Banishing oil is a fine blended oil for candle, poppet, prayer, invocation, or any craft work. 2 dram oil for external use only.   Made in USA."
"OBANV               ","Banishing oil has many uses and is a powerful blend to aid in stopping bad habits, and helping to remove negative energy in people and situations."
"OBETBV              ","Use Better Business Oil to attract customers to your store. "
"OBLAAV              ","This one bottle of oil is a powerful aid in destructive spells, and in pact making rituals.  Economical purpose oils that have stood the test of time. Many of our customers simply demand these old formulations; at this price you can't go wrong in trying a few of these long-standing oils. "
"OBLADV              ","This oil is a powerful aid in spells and rituals of consecration and protection. Use it to anoint that which you wish to protect, and it offers potent aid in fending off evil influences and negative energies. This is a 4 dram bottle of anointing oil, for external use only."
"OBLCAV              ","This oil captures the qualities of the black cat, making it a potent aid in your spells and rituals where you are seeking good fortune. Use it alone or in your spells and rituals to help overcome financial difficulties and generally bring happiness and prosperity into your life. This is a 4 dram bottle of anointing oil, for external use only."
"OBUSSF              ","Enhance any endeavor with this blended oil formula. Whether you have a specific business, venture, or agenda, it can be a useful amplifier for your goal. 2 dram oil for external use only.   Made in USA."
"OCAS128             ","Experience the natural power of Castor Oil, a versatile and deeply nourishing oil that has been used for centuries for its numerous health and beauty benefits. Cold-pressed from the seeds of the castor bean plant, this oil is rich in essential fatty acids, antioxidants, and vitamin E, making it perfect for a variety of uses. 1 gal also available in <A href=""https://www.azuregreen.net/8oz-Castor-carrier-oil/productinfo/OCAS8/"">8oz size</A>"
